HHID,PID,HV101,HV102,HV103,HV104,HV105,HV106,HV107,HV108,HV109,HV110,HV111,HV112,HV113,HV114,HV115,HV116,HV117,HV118,SH9A,SH11,SH12
2 25,4,10,0,1,1,78,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 25,5,5,1,1,1,13,1,2,2,1,9,1, ,1, , , ,0,0,1,1,1
2 28,1,1,1,1,2,26,1,2,2,1,0, , , , , , ,1,0,1,1,1
2 28,2,3,1,1,2,2,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 28,3,3,1,1,2,0,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 28,4,8,0,1,2,33,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 28,5,10,0,1,2,9,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 28,6,10,0,1,2,7,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 28,7,10,0,1,1,0,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 30,1,1,1,1,1,21,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 30,2,2,1,1,2,20,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 33,1,1,1,1,1,28,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 33,2,2,1,1,2,28,1,1,1,1,0, , , , , , ,1,0,1,1,1
2 33,3,3,1,1,2,10,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
2 33,4,3,1,1,2,8,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 33,5,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 33,6,3,1,1,2,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 35,1,1,1,1,1,39,1,6,6,1,0, , , , , , ,0,0,2,1,1
2 35,2,2,1,1,2,39,1,3,3,1,0, , , , , , ,1,0,1,1,1
2 35,3,3,1,1,2,13,1,3,3,1,0,1, ,1, , , ,0,0,1,1,1
2 35,4,3,1,1,1,10,1,3,3,1,0,1, ,1, , , ,0,0,1,1,1
2 35,5,3,1,1,2,8,1,0,0,1,0,1, ,1, , , ,0,0,1,1,1
2 35,6,3,1,1,2,7,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 35,7,3,1,1,1,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 35,8,3,1,1,2,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 38,1,1,1,1,2,54,0, ,0,0,0, , , , , , ,0,0, ,0,1
2 38,2,2,1,1,1,72,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 38,3,10,0,1,2,26,0, ,0,0,0, , , , , , ,1,0, ,1,0
2 38,4,12,0,1,2,16,1,2,2,1,0, , , , , , ,1,0,1,1,1
2 38,5,3,1,1,1,10,1,0,0,1,9,1, ,1, , , ,0,0,1,1,1
2 38,6,3,1,1,1,14,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 38,7,3,1,1,2,20,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 38,8,3,1,1,2,18,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 40,1,1,1,0,1,72,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 40,2,2,1,1,2,62,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 40,3,3,1,1,1,16,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 40,4,10,0,1,2,92,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 40,5,10,0,1,2,35,0, ,0,0,0, , , , , , ,1,0, ,1,0
2 40,6,10,0,1,1,13,1,3,3,1,1,1, ,0, , , ,0,0,1,1,0
2 40,7,10,0,1,2,11,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 40,8,10,0,1,1,3,0, ,0,0,0,1, ,0, , , ,0,0, ,1,0
2 40,9,3,0,1,2,29,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 40,10,5,0,1,2,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 40,11,5,0,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 43,1,1,1,1,1,77,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 43,2,2,1,1,2,53,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 43,3,3,1,1,2,16,2,1,9,3,0, , , , , , ,1,0,5,1,1
2 43,4,3,1,1,1,14,1,6,6,1,1,1, ,1, , , ,0,0,1,1,1
2 43,5,3,1,1,1,7,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
2 43,6,10,0,1,2,60,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 43,7,8,0,1,2,64,0, ,0,0,0, , , , , , ,0,0, ,0,0
2 43,8,10,0,1,2,21,1,6,6,1,0, , , , , , ,1,0,1,1,1
2 43,9,5,1,1,2,14,1,3,3,1,1,1, ,1, , , ,0,0,1,1,1
2 45,1,1,1,1,1,26,0, ,0,0,0, , , , , , ,0,0, ,1,1
2 45,2,2,1,1,2,25,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 45,3,3,1,1,2,5,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 45,4,3,1,1,2,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 48,1,1,1,1,1,33,1,6,6,1,0, , , , , , ,0,0,2,0,1
2 48,2,2,1,1,2,28,0, ,0,0,0, , , , , , ,1,0, ,0,0
2 48,3,2,1,1,2,22,0, ,0,0,0, , , , , , ,1,0, ,1,1
2 48,4,12,0,1,1,25,0, ,0,0,0, , , , , , ,0,0, ,1,0
2 48,5,3,1,1,1,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 48,6,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 48,7,3,1,1,1,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 48,8,12,1,1,1,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 50,1,1,1,1,1,60,1,1,1,1,0, , , , , , ,0,1,1,0,0
2 50,2,2,1,1,2,26,1,1,1,1,0, , , , , , ,1,0,1,1,1
2 50,3,3,0,1,1,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 50,4,3,1,1,2,3,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 50,5,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 50,6,3,1,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 53,1,1,1,1,1,71,0, ,0,0,0, , , , , , ,0,0, ,0,1
2 53,2,3,1,1,2,18,1,7,7,1,0, , , , , , ,1,0,1,1,1
