HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
3 51,RW2,3,51,0,122,1126893,6,92,1110,2,0,0,2,2,0,1,21,2,56,9,0,122,35,2,2,2,3,2,1126893,12,12,1,30,23,0,0, ,0,0,0,0,11, , ,2,1,1,1,30,11,3,11,1.126893
3 54,RW2,3,54,0,122,1126893,6,92,1110,13,2,0,9,13,3,1,19,1,55,9,0,122,35,2,2,2,3,0,0,31,31,1,8,23,0,0, ,0,0,0,0,11, , ,4,4,1,1,41,11,3,11,1.126893
3 56,RW2,3,56,0,122,1126893,6,92,1110,19,3,0,3,19,0,1,19,1,55,9,0,122,35,2,2,2,3,0,0,31,31,1,8,23,0,0, ,0,0,0,0,11, , ,3,5,1,2,71,11,3,11,1.126893
3 59,RW2,3,59,0,122,1126893,6,92,1110,17,3,0,4,17,0,1,20,1,55,9,0,122,35,2,2,2,3,0,0,31,31,1,7,23,0,0, ,0,0,0,0,11, , ,4,2,1,2,43,11,3,11,1.126893
3 62,RW2,3,62,0,122,0,6,92,1110,0,0,0,0,0,0,3,19,2,54,9,0,122,35,2,2,2,3,0,0, , , , , , , , , , , , , , , , , , , , ,11,3,11,0
3 65,RW2,3,65,0,122,1126893,6,92,1110,5,1,0,5,5,2,1,21,1,55,9,0,122,35,2,2,2,3,2,1126893,12,12,1,10,23,0,0, ,0,1,0,0,11, , ,2,1,1,2,32,11,3,11,1.126893
3 67,RW2,3,67,0,122,1126893,6,92,1110,13,3,0,5,12,2,1,19,1,56,9,0,122,35,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,4,2,1,1,29,11,3,11,1.126893
3 70,RW2,3,70,0,122,1126893,6,92,1110,10,1,0,7,8,1,1,19,1,55,9,0,122,35,2,2,2,3,0,0,12,12,1,60,23,0,0, ,0,0,0,0,11, , ,3,2,1,1,52,11,3,11,1.126893
3 73,RW2,3,73,0,122,1126893,6,92,1110,3,1,0,3,3,1,1,19,1,53,9,0,122,35,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,21,11,3,11,1.126893
3 76,RW2,3,76,0,122,1126893,6,92,1110,8,2,0,8,8,2,1,19,1,53,9,0,122,35,2,2,2,3,0,0,31,31,1,30,23,0,0, ,0,0,0,0,11, , ,1,4,1,1,43,11,3,11,1.126893
3 79,RW2,3,79,0,122,0,6,92,1110,0,0,0,0,0,0,8,19,2,54,9,0,122,35,2,2,2,3,2,0, , , , , , , , , , , , , , , , , , , , ,11,3,11,0
3 81,RW2,3,81,0,122,1126893,6,92,1110,11,1,0,11,11,2,1,19,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,30,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,36,11,3,11,1.126893
3 84,RW2,3,84,0,122,1126893,6,92,1110,4,1,0,4,4,2,1,19,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,2,2,1,1,29,11,3,11,1.126893
3 87,RW2,3,87,0,122,1126893,6,92,1110,19,4,0,19,19,1,1,19,1,54,9,0,122,35,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,3,5,1,1,72,11,3,11,1.126893
3 90,RW2,3,90,0,122,0,6,92,1110,0,0,0,0,0,0,8,21,2,51,9,0,122,35,2,2,2,3,0,0, , , , , , , , , , , , , , , , , , , , ,11,3,11,0
